competitor_name,platform,text
bulkofficial,twitter,"Keep your snack game strong💪

With this easy Chocolate Peanut
Butter Protein Flapjacks recipe. You really don’t want to
miss this one.

#TeamBulk #HighProtein #ProteinRecipe https://t.co/nsUvfSW6Yp"
bulkofficial,twitter,When will everyone learn to unrack their weights??
bulkofficial,twitter,When you start seeing gains &gt;&gt;&gt;
bulkofficial,twitter,"It’s World Health Day. This year’s focus is on taking urgent action to keep humans and the planet healthy.

Here’s what we’re doing. And what you can do too.
Take action and inspire others for a healthier tomorrow.

#TeamBulk #HealthierTomorrow #WorldHealthDay https://t.co/hRzWutp7TM"
bulkofficial,twitter,"Nobody:
Me: So do you go gym?"
bulkofficial,twitter,What did i do with my time before I started working out?
bulkofficial,twitter,"Nothing better 🙌
#TeamBulk https://t.co/IZ5k1AvgSo"
bulkofficial,twitter,Gym &gt; Anything else
bulkofficial,twitter,"Sunday morning ritual☕

What does your Sunday morning look like?
#TeamBulk https://t.co/p8sQChc4Ok"
bulkofficial,twitter,"Those wanting to maintain their fitness during Ramadan can still do so safely and sustainably. Bulk ambassador Maymah Makda shares her advice on how to safely adapt fitness routines during this time.
#TeamBulk 

https://t.co/aloqWkRMMz https://t.co/yiW2dEbdL3"
bulkofficial,twitter,This is your sign to go and workout.
bulkofficial,twitter,"New month, new goals. What are you working towards in April?"
bulkofficial,twitter,"What keeps you motivated to workout consistently?
We want to know👇
#TeamBulk"
bulkofficial,twitter,Today is a perfect day to go to the gym.
bulkofficial,twitter,"Who else wants to stock up with this Bulk™ collection?🙋
#TeamBulk https://t.co/aFOvLc01MC"
bulkofficial,twitter,Time flies. Until you attempt 2 minutes of burpees.
bulkofficial,twitter,"Tag someone who also deserves a round of applause👇

#TeamBulk #GymMeme #GymMotivation https://t.co/9sN90SUgkE"
bulkofficial,twitter,"If your cupboards aren't full of supplements, wyd?"
bulkofficial,twitter,This is your morning reminder to get up and smash today. You've got this.
bulkofficial,twitter,"Peanut Butter Energy Balls😍
Great as a mid-morning pick-me-up, a pre-workout boost or a post-workout snack.

Make them your own with different peanut butter flavours.
Let us know which flavour you choose. 👇
#TeamBulk https://t.co/L3AL8xj1lT"
bulkofficial,twitter,Let's normalise working out for the way it makes us feel.
bulkofficial,twitter,"Pre-workout mood💪

Who else is training today?
#TeamBulk https://t.co/peQtNOWUyq"
bulkofficial,twitter,"Nothing beats that new protein feeling💪
#TeamBulk https://t.co/52BTz0oPSD"
bulkofficial,twitter,Is it just me or does anyone else NEED to have every flavour of protein possible?🤔
bulkofficial,twitter,Remember to train your mind as well as your body. It's just as important.
bulkofficial,twitter,"Take your snacking to the next level with our nutty, nutritional balls of energy. 

A vegan-friendly, satisfying source of protein and fibre.

Which flavour will you choose?
#TeamBulk https://t.co/K3jdlxgHqK"
bulkofficial,twitter,"Even the Top Boy knows how to fuel his day🔥

#TeamBulk #TopBoy https://t.co/YYUXnT23DW"
bulkofficial,twitter,"Controversial opinion: Mondays are the best day of the week. It's a fresh start to smash your goals. 
#TeamBulk #MondayMotivation"
bulkofficial,twitter,"If you're scrolling right now, stop and start your day."
bulkofficial,twitter,You can't beat that post-workout feeling.
bulkofficial,twitter,I just wanna eat good and sleep good.
bulkofficial,twitter,"PSA: This is not an excuse to spend today buried under your duvet.

It's World Sleep Day and we're raising awareness on the benefits of sleep. Of which there are many. And we're here to share some of them.

#TeamBulk #WorldSleepDay #SleepBenefits https://t.co/wiYQ7gMFFK"
bulkofficial,twitter,Best way to mix your pre-workout?💥 https://t.co/hwOJZa3a2P
bulkofficial,twitter,Gym food sleep repeat.
bulkofficial,twitter,"Focus on performance and strength. Let muscle follow💪

The mindset of @alexcrockford is driving him towards his goal of lean gains, along with the supplements he uses to increase performance and daily protein intake
 
How are you working towards reaching your goals?
#TeamBulk https://t.co/VLKOUpNWFr"
bulkofficial,twitter,Sign of a good workout: You showed up.
bulkofficial,twitter,Be stronger than your excuses. #MondayMotivation
bulkofficial,twitter,It's Sunday. Training or rest day?👇
bulkofficial,twitter,To whoever needs to hear it. You've got this.
bulkofficial,twitter,"It's Friday, who's making the most of empty gyms?"
bulkofficial,twitter,"No one:
Me after a gym session: https://t.co/0Yk9uICQL2"
bulkofficial,twitter,"High Protein Pizza🍕🔥

Serves 2. Per serving: 278 kcals | 23.4g Protein | 2.1g Fat | 42g Carbs

#TeamBulk #HighProtein #Fakeaway #ProteinPizza https://t.co/IzYEoO2QLm"
bulkofficial,twitter,"What's your favourite exercise to take your shoulder workouts to the next level?🔥👇

#TeamBulk https://t.co/dYHgwEQSdF"
bulkofficial,twitter,Nothing beats the feeling after a good workout.
bulkofficial,twitter,"Just the one. Once a day.

Our new Multivitamin &amp; Multimineral contains a winning team of 21 essential daily vitamins and minerals. An all round performer on convenience, cost and quality.

Supporting you where you need it most.

#TeamBulk https://t.co/IezAxYZmj7"
bulkofficial,twitter,"Getting ready to shake it up.🥊

@anthonyjoshua fuels his training with our Informed Whey Protein:
- Tested under the Informed Sport programme
- 80% protein content with 24g per 30g serving

#TeamBulk https://t.co/3Za26nn9Vp"
bulkofficial,twitter,"@Samrabone Hi, we're really sorry to hear about this. Please get in touch with our dedicated customer service account @bulkhelp or email us at hello@bulk.com and we can help you there"
bulkofficial,twitter,Just start now. It's never too late.
bulkofficial,twitter,"This International Women's Day, and everyday, we want to break the bias of women in strength training. From education, to removing bias language, to tackling intimidation.

#TeamBulk #InternationalWomensDay #BreakTheBias https://t.co/7v5jQ45qQy"
bulkofficial,twitter,Everyone is working towards their own goals. Everyone in the strength training environment is equal. Let's make sure that's the case.
bulkofficial,twitter,"""If we learned it's normal and equal to train with weights, the bias shouldn't exist""

As a woman entering the weights section of any mainstream gym, is can be very daunting. Hayley Madigan shares her tips for overcoming this bias.

#BreakTheBias 

https://t.co/0YaSQNOwrY"
bulkofficial,twitter,"It’s the weekend. You deserve a treat. 🍫

Featuring our Gourmet Vegan Bars, this Vegan Protein Brownie Batter makes a perfect post-workout snack. It’s so simple too.

253 kcals | 17.8g Protein | 12.8g Fat | 21.6g carbs

#TeamBulk https://t.co/eXouSwRYsH"
bulkofficial,twitter,"These vanilla products are anything but ordinary.

You asked. We listened. Three of your favourite products are now ready to enjoy in a new Vanilla flavour:
- Natural Pure Whey Protein™
- Natural Pure Whey Isolate™
- Vegan Mass Gainer

Which one will you choose?

#TeamBulk https://t.co/cAO17NA2Gu"
bulkofficial,twitter,"Stay ahead of the game with the Bulk™ × New Era collection.

We’ve teamed up the leaders in sports headwear to bring you an iconic range of classic hats, engineered for all-purpose wear.

#AheadOfTheGame #TeamBulk https://t.co/cMPNgnC4gV"
bulkofficial,twitter,"Find your fit. Stand out from the crowd. Just like Luca Daff

Bulk™ Clothing is ready to wear. Our new range of hoodies, t-shirts and joggers is designed for comfort and built to perform.

#WeveGotYouCovered #TeamBulk https://t.co/o82XESwhqt"
bulkofficial,twitter,"@Saffronbarker shows us how it’s done in a split second. 

Anything is possible with the right training and nutrition.

What are your goals next week?

#TeamBulk https://t.co/8zxqFlOpov"
bulkofficial,twitter,"Are you keeping your head above water today?

Keep it warm too with a cosy Bulk™ × New Era beanie.

We’ve teamed up with the leaders in sports headwear to bring you an exclusive range of iconic caps and beanies. All you have to do is choose which one’s for you. 

#AheadOfTheGame https://t.co/P5j9T3Hsfo"
bulkofficial,twitter,"How high can you pile yours?

These Banana Protein Pancakes reach new heights in taste and texture.

And to top it all off (fresh berries and syrup optional), you’ll reach your nutrition goals too.

Get flipping. 

 #TeamBulk https://t.co/YOdO2MoXva"
bulkofficial,twitter,"The perfect partner.

@oliverlamwatson makes another great match with our Pump Pre-Workout. Loaded with essential nutrients to fuel your workout, you’ll be ready to smash your goals. 

Found your favourite flavour yet?

#TeamBulk https://t.co/7qIYwsGLSt"
bulkofficial,twitter,"Hats off to the team. We’ve partnered with the leaders in sports headwear to bring you an exclusive range of all-purpose headwear.

The Bulk™ × New Era collection of iconic caps and beanies will get you ahead of the game.

Which one will you choose?

#AheadOfTheGame #TeamBulk https://t.co/ouiY0VFKNt"
bulkofficial,twitter,"Have you covered your bases? Bulk™ Clothing is ready to wear. Our new range of hoodies, t-shirts and joggers is designed for comfort and built to perform.

Find your fit. Stand out from the crowd.

#WeveGotYouCovered #TeamBulk https://t.co/oeN2qieH6n"
bulkofficial,twitter,"Like the look of these? You’ll go nuts when you try them.

If you haven’t tasted one of our new MACRO MUNCH™ Peanut Butter Cups, this recipe tops it off. The protein-packed peanut takes the lead, followed closely by delicious chocolate.

What a match. Just choose your time. https://t.co/hvyxMtGyU3"
bulkofficial,twitter,"Goals are for setting, smashing and sharing.

What goals did you smash this month? Share with us below. 👇

#TeamBulk #OwnItWithBulk https://t.co/q6QduzVBM4"
bulkofficial,twitter,"Start your day the healthy way.
Is this your year to go green? this plant-based breakfast bowl is perfect.
Our Vanilla Vegan Protein Powder &amp; Flavoured Peanut Butter in Cookies &amp; Cream take overnight oats to a new level. At 23g of protein per serving, you’ll be set for success https://t.co/ZPLO3fV82y"
bulkofficial,twitter,"Found your perfect gym partner yet?

We have. And we like to share.

Check out our Build Muscle Bundle. Designed with you in mind, our bundle of gym essentials supports muscle growth and maintenance.

Get stronger in 2022. Smash your goals with Bulk™.

#TeamBulk #OwnItWithBulk https://t.co/53xD1xPnF8"
bulkofficial,twitter,"It’s time to clean up your act. And we’re with you every step of the way. This year we’re taking clean eating to the next level.

The humble chickpea rises to the challenge as it teams up with our Smooth Peanut Butter. A winning savoury snack. And a source of protein. Naturally. https://t.co/IGZO26PpPS"
bulkofficial,twitter,"Time for a brownie break? You’ll make time when you try this one. 

Our Vegan Protein Brownie in a new Chocolate Peanut Butter flavour tastes as good as it performs.

High in protein. Soft baked. Nutty nutritional goodness.

#TeamBulk https://t.co/4PMfJleRAr"
bulkofficial,twitter,"Our bundle of products for muscle growth and maintenance are designed to be your most effective training partner.
 
We’re helping @maymah.lifts reach her goals this year, let us help you smash yours too. 
 
 #TeamBulk #OwnItWithBulk https://t.co/o0zND0BlU5"
bulkofficial,twitter,"Want to build muscle in 2022? We’ve got just the lunch for you.
 
This high protein tomato soup is packed full of protein and can be meal prepped in advance. 
 
#TeamBulk #OwnItWithBulk https://t.co/uy84RnRDkx"
bulkofficial,twitter,"Is your 2022 goal to lose weight? Then we've got you covered.

This Nutty Chocolate Granola is the perfect low calorie breakfast for helping you reach your goals this year. 

#OwnItWithBulk #TeamBulk https://t.co/HBT5zakC8a"
bulkofficial,twitter,"What’s your fitness goal this year? 
@_hayleymadigan goal is to build muscle and to get stronger.

Whatever your goal, Own It with Bulk™.

#TeamBulk #OwnItWithBulk https://t.co/nWEpfL21P0"
bulkofficial,twitter,"One of @alexcrockford’s goals this month is to follow a plant-based diet with our vegan bundle. 

Each and every product in the bundle is tailored to the specific needs of anyone following a vegan or plant-based diet.

#TeamBulk #OwnItWithBulk https://t.co/TqTJ71Wcxb"
bulkofficial,twitter,"Now that the first week of 2022 is over, how are you getting on with your fitness goals? 

If you’re still looking for inspiration, we’ve got product bundles packed full of the essentials for every step, every target and every win along your journey."
bulkofficial,twitter,"Is your 2022 goal to lose weight? Kickstart your progress with Bulk™.

​No secret formula, just the tools you need to support weight management in a healthy and sustainable way. 

#TeamBulk #OWNITWITHBULK https://t.co/agZDZ7Ramr"
bulkofficial,twitter,"Whatever your goal, Own It with Bulk™.

DEAL OF THE DAY

55% Off Multivitamins 

https://t.co/48UdXyFvNi"
bulkofficial,twitter,"Whatever your goal, Own It with Bulk™.

#TeamBulk #OwnItWithBulk 

https://t.co/sIJxeXeCBZ https://t.co/fo3G6Np2qA"
bulkofficial,twitter,"2022 is here.
Are you looking to build muscle this year?
Trust the experts in gains.

Power your progress and support your recovery to make every rep count. Our range of products for muscle growth and maintenance are designed to be your most effective training partner."
bulkofficial,twitter,"@mattjonesmtb has got his impressive Bulk™ Stack.
What Bulk™ goodies did you receive for Christmas? #TeamBulk https://t.co/58qqG5Mzou"
bulkofficial,twitter,"@mattjonesmtb has got his impressive Bulk™ Stack.
What Bulk™ goodies did you receive for Christmas? #TeamBulk https://t.co/QUg1WTM6MY"
bulkofficial,twitter,"With all the socialising and endless supply of treats, Christmas is the worst time of the year for keeping up with your fitness plan. But not to worry, you can combine the best of both worlds with the  Eggnog Protein Shake recipe that'll see you hit your protein goals. #TeamBulk https://t.co/xuR7bJCvmO"
bulkofficial,twitter,"Made by traditional baking methods and using only the finest ingredients, our brand new Macro Munch™ Protein Biscuits have been specially formulated to not only taste amazing, but also to contribute to your daily protein intake.

https://t.co/DxLZzwJqY7 https://t.co/1tVje2wbsK"
bulkofficial,twitter,"Meet the ultimate snack of indulgence.

Our Macro Munch™ Peanut Butter Cups are specially crafted, guilt-free snacks that make no concessions when it comes to nutrition.

https://t.co/LLREYwxb8d https://t.co/aRFNdGmW1r"
bulkofficial,twitter,"Looking for the perfect Christmas Eve breakfast?
These Gingerbread Protein Waffles are the ideal festive way to start the day.
Made with Bulk™ Speculoos Pure Whey Protein and packed full of flavour, they go perfectly with our new festive Ginger Bread Zero Calorie Syrup. https://t.co/Kor5Fc61gI"
bulkofficial,twitter,"Looking for a Christmas snack without the guilt?
We've got you covered.

Check out these Christmas Pudding Energy Balls.

Made with our 100% natural high quality almond butter. #TeamBulk https://t.co/6F7VB31bhX"
bulkofficial,twitter,"Want to put a smile on that special someone’s face this Christmas? 

Our Millions Collaboration bundle is the perfect present for any gym lover.

 Just check out @alexcrockford 's face after receiving his. 

https://t.co/uLybix7hEj

#BulkxMillions #Burstingwithflavour #TeamBulk https://t.co/XVg2q3y65p"
bulkofficial,twitter,"Looking for the ultimate Christmas Challenge?

Then check out this finisher set by 
Clara &amp; Laurie

Tag a friend you'd try this with. https://t.co/x3UBKDWSNx"
bulkofficial,twitter,"If you're looking for a nutritious way to start your day, this Egg White Breakfast Cups recipe is what you're after. It’s the perfect high-protein start to your morning for sustained energy to keep you going. Trust us, it’ll become one of your favourites in no time. #TeamBulk https://t.co/OUEDwoZkpJ"
bulkofficial,twitter,"When the Millions x Bulk Collab tastes that good, you just have to share it.

Our Millions Collaboration bundle is the perfect Christmas present for any gym lover. 

https://t.co/uLybixoT2T

 #BulkxMillions #Burstingwithflavour #TeamBulk https://t.co/ybS9cPzOV1"
bulkofficial,twitter,"New year is almost here. Be ready for January and take action on your goals. Small changes bring big results. Kickstart your progress with our new, nutritionist-developed, Diet Whey Protein powder. 

https://t.co/kjYWSg7zwe https://t.co/bFCvjXYnPc"
bulkofficial,twitter,"Are you ready to try our delicious new flapjack flavour? 

Our Brand New Peanut Butter flapjack is packed with 21g of protein, making them perfect for snacking on the go or as an extra source of nutrition between meals.

https://t.co/itUxZtOVVr https://t.co/GbxWDg2GWp"
bulkofficial,twitter,"For us, it’s all about having that extra time. 🙌
What’s your favourite thing about training at the weekend? #TeamBulk https://t.co/BX8POS3f29"
bulkofficial,twitter,"Looking for that last minute gift?
We’ve got you covered with our limited edition Bulk™ x Millions range, guaranteed to take you back in time with their iconic flavours
Our Millions Collaboration bundle is the perfect present for any gym lover
https://t.co/uLybixoT2T https://t.co/RwV7x7UQVs"
bulkofficial,twitter,"Christmas is creeping up on us and while it is the season to be jolly, we don’t want to lose sight of our fitness goals. 

Here are our top tips to staying on track this festive season. 

https://t.co/KB15cYdg80

#TeamBulk"
bulkofficial,twitter,"@nathanncollins is all over our Protein Spread.
With more than three times the amount of protein than your favourite big brand spread, it's the perfect way to satisfy your sweet tooth while still hitting your protein target. #TeamBulk https://t.co/Ubm2FLXcIg"
bulkofficial,twitter,@xexuge1 Sorry to see that - Please drop us a message via the link here &gt;&gt; https://t.co/reVWFOPHcQ and our team will be able to help
bulkofficial,twitter,@DrSineadEP Sorry to hear that Sinead - Please drop us a message via the link here &gt;&gt; https://t.co/reVWFOPHcQ and our team will be able to help
bulkofficial,twitter,"In need of nutrition on the go? Our range of protein bars and snacks are not only delicious, they're a great way to get your protein in no matter what the day has in store. Convenient, irresistibly tasty and packed with protein in every bite. 

 #TeamBulk https://t.co/WXcpg6qiYa"
bulkofficial,twitter,"Our hero Macro Munch™ protein bar now comes in Salted Caramel &amp; Cherry Bakewell flavours. Delivering the ultimate in in flavour, texture &amp; nutrition, each bar is packed with 20g of protein and is low in sugar. Perfect for snacking on. Which flavour will you try first? #TeamBulk https://t.co/u9W3x2edwm"
bulkofficial,twitter,"No days off, no excuses… If you want to smash it like 
Luca Daffrè, you’ve got to choose the right nutrition. Can you guess what his favourite products are? #TeamBulk https://t.co/UKDF54LF3m"
bulkofficial,twitter,"With Christmas nearly in full swing, it’s important now more than ever to remain focused on your fitness goals. 

Keep checking our Instagram during December for tips on how to stay on track, while making sure you still have a good time. #TEAMBULK https://t.co/E1Ma5Lar7s"
bulkofficial,twitter,"With the festive season just around the corner, get your hands on these limited edition Macro Munch and Zero Calorie Syrup gingerbread flavours, while stocks last. 

The Christmassy way to get your gains in. #TeamBulk https://t.co/4g6wZFwBxp"
bulkofficial,twitter,"There's just a few days left... have you checked out the Bulk™ Friday sale? 

#BulkFriday https://t.co/ksPejDUf4I"
bulkofficial,twitter,"This is Bulk™ Friday.

To help make life easier, we've selected our top picks from this year's sale.

https://t.co/jeJtrvZIIt https://t.co/NArDFR9zZ1"
bulkofficial,twitter,"Cyber Monday is here. 

Deal of the Day - 60% off all vitamins

https://t.co/XtEBwQ1c7J https://t.co/z1nTDUCVpT"
bulkofficial,twitter,"Cyber Monday is here. 
It's your last chance to get your hands on our biggest offers.
Don't miss out.
#TeamBulk
https://t.co/O0Hc2KuV21 https://t.co/e5JMFgEG4c"
bulkofficial,twitter,"This is Bulk™ Friday.

#TeamBulk 

https://t.co/O0Hc2KuV21 https://t.co/x7d3lFPJUG"
bulkofficial,twitter,"This is Bulk™ Friday.

2 FOR 1 ON BULK FOODS 

https://t.co/Oef5TnMFsl https://t.co/Q8P60zHPUp"
bulkofficial,twitter,"This is Bulk™ Friday.

10 Days of our biggest and best offers.

#TeamBulk https://t.co/546r8DzkES"
bulkofficial,twitter,"It's been a journey over the last 15 years, and we couldn't have done it without you all.  Here's to the next 15! #teambulk https://t.co/ORrJPgZArm"
bulkofficial,twitter,"To celebrate our birthday, today we're giving a massive 60% off all vitamins. Head over to our website. #teambulk https://t.co/O3sElPtn0R"
bulkofficial,twitter,Today's the day. We know who we're backing @anthonyjoshua #teambulk https://t.co/eaaHaJUpcb
bulkofficial,twitter,It's National Fitness Day and @londonfitnessguy choses yoga to stretch and restore.  To celebrate we've got 35% off everything until Saturday.  Link in story and bio. #teambulk https://t.co/YOe1SEFbbk
bulkofficial,twitter,Does your workout partner also spot your hydration? @twinsb_fit get creative with our shaker while getting some outdoor training in. What are you training today? #teambulk https://t.co/ncyrSKKiMo
bulkofficial,twitter,Keep it moving 💪 @JohnsonThompson #teambulk https://t.co/CJU1GXb8Ep
bulkofficial,twitter,"Get an insight into @anthonyjoshua nutrition over on Bulk Insta with his nutritionist   @ElliNutrition taking over our stories today, keep your eyes peeled!   https://t.co/dHcKnGMgnc"
bulkofficial,twitter,"Have you tried our Macro Munch Protein Bar? Each bar is packed with 20g of protein and low in sugar, making it perfect for snacking on the go. https://t.co/Tc1IUzIRLt"
bulkofficial,twitter,"@Leeannebyrne3 For customer support, please tweet 
@BulkHelp Many thanks."
bulkofficial,twitter,Ready for battle 🥊 @anthonyjoshua https://t.co/wDOU1nrlzj
bulkofficial,twitter,Back to work today!  Get the most out of your training session with our pre-workouts.  Do you use pre-workouts? Let us know! 💪
bulkofficial,twitter,"It’s Bank Holiday Monday!  Will you be getting that extra workout in or resting today? 
#teambulk"
bulkofficial,twitter,Looking for something a bit more out of your snacks? Our Protein Flapjacks are packed with 21 grams of protein and come in 7 different flavours. What’s your favourite? #teambulk
bulkofficial,twitter,Looking for something a bit more out of your snacks? Our Protein Flapjacks are packed with 21 grams of protein and come in 7 different flavours. What’s your favourite? #teambulk https://t.co/fsRgQcPmfH
bulkofficial,twitter,“It’s important to just keep consistent and keep true to yourself.” - @JohnsonThompson
bulkofficial,twitter,@IanMarsdenGB Good luck! 🥇
bulkofficial,twitter,"@Pariahde_laVida Hey - we don't have a confirmed restock date yet, but we hope that it should be back in the next few weeks 🤞"
bulkofficial,twitter,"@jelte_schulten Hey 👋 For all order queries please head over to @bulkhelp, they can assist you 🙂"
bulkofficial,twitter,"We’re coming up to the last Bank Holiday weekend of summer ☀️

What has everyone got planned?"
bulkofficial,twitter,"25/8 - the kind of work ethic it takes to be a champion @anthonyjoshua 👊

Would you have what it takes? https://t.co/KA4qDuaxIQ"
bulkofficial,twitter,"What’s your favourite motivational quote?

Drop your #WednesdayWisdom in the replies 👇"
bulkofficial,twitter,"Getting Paralympics ready with @oliverlamwatson 🤺

Check out what he had to say over on the blog 👇  https://t.co/efYzRfsg2d"
bulkofficial,twitter,"When it comes to quick meal prep - this one is up there.

Full of flavour from our Garlic &amp; Herb Active Seasoning, with no added salt and are soya free &amp; paleo friendly.

Cutting down on carbs? Use our Diet Pasta, made from konjac 💡 

Recipe: https://t.co/OkpbIDlPpw https://t.co/6MAWYnTiEF"
bulkofficial,twitter,@iconicdesirex Hey there - we're really sorry to hear about the delay to your order! Please drop a DM over to @bulkhelp and they can chase this up for you.
bulkofficial,twitter,"@danielmcavoy @bulkhelp Hey Daniel! Our apologies, this is a misprint that we have been made aware of and have now updated the label going forward. The ingredients list of the tin, and on the website is correct 🙂"
bulkofficial,twitter,"@LukeMalibu1 Hey Luke - we don't a restock date for these yet, but we hope it won't be too much longer 🤞"
